intensity_PW_cm2,event_class,PC,p2z,p3z,p4z,z_norm,sum_z_loadings
1.0,all,PC1,0.5795380927803968,0.5718076785969868,0.5776217973732303,0.9982361259174584,1.7289675687506139
1.0,all,PC8,-0.33915578280181347,0.8160061691537576,-0.46655306699714705,0.999281980938987,0.010297319354797052
1.0,all,PC9,0.7392048602373976,-0.07530068246580175,-0.6663066858738157,0.9980273632614257,-0.002402508102219869
1.0,delayed,PC1,0.5626709584894236,0.5352050375248871,0.6193272055565068,0.9932820481926843,1.7172032015708174
1.0,delayed,PC8,-0.6103810887114032,0.7643485528122246,-0.10532829642659616,0.9838129058265036,0.04863916767422524
1.0,delayed,PC9,-0.5315737794375528,-0.33004990286358804,0.7668785074135229,0.9897506082334988,-0.09474517488761791
1.0,direct,PC1,0.5796718780467576,0.5772143535655161,0.5719313524725727,0.9981489708963376,1.7288175840848463
1.0,direct,PC8,-0.2829303655335113,-0.516517233803706,0.8077446578488423,0.9996454755764675,0.0082970585116251
1.0,direct,PC9,0.7631420028132014,-0.6313523651314069,-0.1362952665105256,0.9997839392028364,-0.0045056288287310675
1.3,all,PC1,0.5739509189476522,0.5762625360978885,0.5815229708069798,0.9998335528711767,1.7317364258525205
1.3,all,PC8,0.7610664951116068,-0.6374061855892754,-0.11953514390204203,0.9998987478923139,0.004125165620289389
1.3,all,PC9,-0.30206558537739253,-0.5111816515427626,0.8044173538036921,0.9998187725002504,-0.008829883116463044
1.3,delayed,PC1,0.5416190789396788,0.5559199664978364,0.6288310526958296,0.998912773297532,1.7263700981333447
1.3,delayed,PC8,0.7311887505152849,-0.6688272407803936,-0.03680204991316246,0.9916255632887996,0.025559459821728837
1.3,delayed,PC9,-0.4053935817808273,-0.48311749966030443,0.7755363880962797,0.9996015025441568,-0.112974693344852
1.3,direct,PC1,0.5797437037601599,0.5806748870061771,0.5713069387723454,0.9998388393829343,1.7317255295386826
1.3,direct,PC8,-0.43350353956951376,-0.3738523580775495,0.8197700296219039,0.9998568927230229,0.012414131974840648
1.3,direct,PC9,-0.6896186193268248,0.7231591272276754,-0.035154613464710896,0.999884398449532,-0.0016141055638602825
1.6,all,PC1,0.5751760371084434,0.5749215545139578,0.5805483336136708,0.999198996781987,1.730645925236072
1.6,all,PC8,-0.7011129981722345,0.7128285505446619,-0.011412586020943763,0.9999071085842668,0.0003029663514836217
1.6,all,PC9,-0.4208470425323351,-0.4007505822383213,0.8135656331868812,0.9998011311632616,-0.008031991583775211
1.6,delayed,PC1,0.5480001628375331,0.5453626962838688,0.631781509500987,0.998435037804323,1.7251443686223888
1.6,delayed,PC8,-0.6960456116952525,0.71126745321368,-0.00875612564763753,0.9952173397291919,0.006465715870790006
1.6,delayed,PC9,-0.45457404360569614,-0.4386786679519009,0.7743555422031484,0.9993513098889797,-0.1188971693544486
1.6,direct,PC1,0.5815274170826136,0.5814073370778999,0.567455254442744,0.9991066480719013,1.7303900086032575
1.6,direct,PC8,-0.39992486359262114,-0.4037240594148021,0.8226042003561057,0.9998053226070821,0.01895527734868241
1.6,direct,PC9,0.7081573308899378,-0.7060121976563306,-0.0021162834655851616,0.9999722532092524,2.8849768022048798e-05
1.7,all,PC1,0.5758349902980929,0.5704927562618243,0.5845305757261825,0.999361753799694,1.7308583222860998
1.7,all,PC8,-0.6189527707897313,0.7712070561225495,-0.14286168586078665,0.9991357851505874,0.009392599472031499
1.7,all,PC9,-0.5327991385114879,-0.2795585632155003,0.7978814297697754,0.9993211136752588,-0.014476271957212794
1.7,delayed,PC1,0.5447081287920544,0.5330051963549356,0.6445160730181831,0.9980994205450101,1.722229398165173
1.7,delayed,PC8,-0.6444328809501603,0.6950882895019889,-0.03077173990682194,0.9483608850165728,0.019883668645006656
1.7,delayed,PC9,-0.4796821881992121,-0.4293934356916176,0.7614094319813834,0.9971048327035872,-0.1476661919094463
1.7,direct,PC1,0.5804423425247467,0.5804042520773488,0.5675955388642036,0.997971494865273,1.728442133466299
1.7,direct,PC8,-0.4023790453235278,-0.40173127471652464,0.8221832507474139,0.9996410410794578,0.01807293070736149
1.7,direct,PC9,-0.7068245381151715,0.7070113563896674,-0.0010585135577071978,0.9997335175918804,-0.0008716952832113498
